about http://127.0.0.1:3610/about.html http://127.0.0.1:3610/index.html 1 2
about http://127.0.0.1:3610/index.html http://127.0.0.1:3610/index.html 0 1
crawler http://127.0.0.1:3610/about.html http://127.0.0.1:3610/index.html 1 1
crawler http://127.0.0.1:3610/faq.html http://127.0.0.1:3610/index.html 1 1
crawler http://127.0.0.1:3610/guide.html http://127.0.0.1:3610/index.html 1 1
crawler http://127.0.0.1:3610/index.html http://127.0.0.1:3610/index.html 0 3
depth http://127.0.0.1:3610/faq.html http://127.0.0.1:3610/index.html 1 2
faq http://127.0.0.1:3610/guide.html http://127.0.0.1:3610/index.html 1 1
faq http://127.0.0.1:3610/index.html http://127.0.0.1:3610/index.html 0 1
guide http://127.0.0.1:3610/about.html http://127.0.0.1:3610/index.html 1 1
guide http://127.0.0.1:3610/guide.html http://127.0.0.1:3610/index.html 1 1
guide http://127.0.0.1:3610/index.html http://127.0.0.1:3610/index.html 0 1
home http://127.0.0.1:3610/faq.html http://127.0.0.1:3610/index.html 1 1
home http://127.0.0.1:3610/index.html http://127.0.0.1:3610/index.html 0 1
queue http://127.0.0.1:3610/faq.html http://127.0.0.1:3610/index.html 1 3
quiz http://127.0.0.1:3610/index.html http://127.0.0.1:3610/index.html 0 1
relevance http://127.0.0.1:3610/guide.html http://127.0.0.1:3610/index.html 1 3
search http://127.0.0.1:3610/about.html http://127.0.0.1:3610/index.html 1 3
search http://127.0.0.1:3610/faq.html http://127.0.0.1:3610/index.html 1 1
search http://127.0.0.1:3610/guide.html http://127.0.0.1:3610/index.html 1 1
search http://127.0.0.1:3610/index.html http://127.0.0.1:3610/index.html 0 1
